0.0005,0,0.9995,-0.1221,0.1221,0,450,18,-327,-0.0549,0.0494,-1.4832,0.99985,-0.00049,0.00046,-0.01297
0,0,0.9995,0.061,0,0,450,18,-327,-0.0824,0.0714,-1.4832,0.99985,-0.00073,0.00064,-0.01297
0,0,0.9995,0,0,0,450,18,-327,-0.0769,0.0714,-1.4832,0.99985,-0.0007,0.00064,-0.01297
0,0,0.9995,0,0,0.3052,450,18,-327,-0.0879,0.0769,-1.4722,0.99985,-0.00073,0.00067,-0.01288
0,0,1,0.1221,-0.061,0,450,18,-327,-0.0769,0.0659,-1.4777,0.99985,-0.00067,0.00061,-0.01288
0.001,0.002,1,0,0,0,450,18,-327,-0.033,0.033,-1.4777,0.99985,-0.00027,0.00027,-0.01288
0,0,1,-1.1597,0.9766,0,450,18,-327,-0.0439,0.0439,-1.4722,0.99985,-0.00037,0.0004,-0.01285
0.0005,0,0.9995,-0.1221,0.1831,-0.7935,450,18,-326,-0.0824,0.0769,-1.4996,0.99985,-0.0007,0.00067,-0.01309
0,0,0.9995,-0.1221,0.1831,-0.1221,450,20,-328,-0.0824,0.0769,-1.5436,0.99985,-0.0007,0.0007,-0.01346
0,0,0.999,0.2441,-0.061,0,450,19,-328,-0.0769,0.0824,-1.5491,0.99985,-0.00067,0.0007,-0.01352
0,0,0.9995,-0.1831,0.1831,0,450,20,-329,-0.0604,0.0714,-1.604,0.99985,-0.00055,0.00061,-0.01398
0,0,0.9995,-0.4883,0.4272,0,451,20,-329,-0.0714,0.0769,-1.604,0.99985,-0.00061,0.0007,-0.01401
0,0,1,-0.061,0,0,450,20,-328,-0.0714,0.0714,-1.626,0.99985,-0.00064,0.00064,-0.01422
0.002,0.0024,0.9995,0,0,-0.061,450,18,-328,0.011,0,-1.6479,0.99982,0.00012,0,-0.0144
0.0034,0.0024,0.9995,1.5869,-1.1597,-3.9673,449,20,-328,0.0824,-0.0439,-1.9116,0.99979,0.00073,-0.0004,-0.01666
0.0029,0.0024,0.9995,-0.9766,0.8545,-8.2397,449,31,-328,0.033,-0.022,-3.9001,0.99936,0.00027,-0.00021,-0.03403
0,-0.0024,1.0015,-0.3052,0.061,-25.9399,450,53,-329,-0.0989,0.0879,-7.5311,0.99777,-0.00082,0.00085,-0.06567
0.0054,0.0195,0.9995,-0.5493,-0.1221,-40.9546,441,93,-329,0.0494,-0.1044,-14.447,0.992,0.00031,-0.00095,-0.12573
0.0088,0.0117,0.9995,-0.1221,0.4883,-38.8184,426,151,-332,0.0055,-0.1538,-23.4064,0.97913,-0.00021,-0.00131,-0.20285
0.0107,0.0151,1.0005,-0.061,1.0376,-46.6309,406,197,-332,0,-0.2197,-30.7068,0.96423,-0.00052,-0.00183,-0.26477
0.0088,-0.0029,0.9985,-0.061,-0.5493,-35.7666,378,241,-330,0.033,-0.2417,-38.0786,0.94522,-0.0004,-0.00208,-0.3262
0.0103,-0.0039,0.999,0.6714,0.6714,-34.1797,348,273,-334,0.1428,-0.2802,-44.3573,0.92593,0.00021,-0.00275,-0.3775
0.0103,0.0034,0.999,-0.9766,0.7324,-35.7666,314,304,-333,0.1703,-0.3076,-51.026,0.9024,0.00018,-0.00308,-0.43073
0.0132,0.0073,1.0005,-0.1831,0.6104,-67.0776,255,341,-331,0.1154,-0.3131,-62.2925,0.85577,-0.00055,-0.00287,-0.51721
0.0195,0.0288,0.999,-0.6104,1.0986,-89.5386,158,375,-331,0.1538,-0.2527,-78.2227,0.77585,-0.00034,-0.00259,-0.63083
0.0034,-0.0234,1.001,-0.9766,1.0986,-83.8013,43,378,-331,0.1978,-0.1978,-94.9823,0.67563,-0.00009,-0.00244,-0.73715
0.0112,0.0034,0.9995,-2.1973,1.6479,-30.0293,-54,350,-328,0.3955,0.0494,-109.3964,0.57779,0.00238,-0.00256,-0.81607
0.0127,0.0107,1.0015,-1.1597,1.3428,-57.312,-114,315,-327,0.3735,0.0604,-119.4708,0.50391,0.00211,-0.00253,-0.86368
0.02,0.0146,1.001,-0.4883,0.4272,-61.0352,-157,280,-329,0.2802,0.1154,-126.7438,0.44812,0.00201,-0.00174,-0.89389
-0.0054,0.001,1,0.7935,-0.061,-43.8843,-181,256,-326,0.2307,0.1428,-131.1493,0.41345,0.00201,-0.00131,-0.91043
0.0068,0.0054,0.9995,0,0.6714,-48.0957,-222,194,-324,0.2472,0.3076,-143.4375,0.3136,0.00323,-0.00119,-0.94946
0.0059,0.0054,1,0.3052,0.1831,-38.147,-247,134,-323,0.2142,0.368,-153.3252,0.23062,0.00357,-0.0011,-0.97296
0.0059,0.0044,1,0.2441,0.2441,-26.1841,-260,83,-325,0.2252,0.3625,-161.2134,0.16312,0.00345,-0.00143,-0.98654
0.0059,0.0059,1,-0.061,0.2441,-33.2642,-265,45,-325,0.2856,0.2911,-167.3602,0.11005,0.00284,-0.0022,-0.99387
0.0059,0.0059,0.999,0.2441,0,-28.0151,-265,7,-323,0.2637,0.3021,-173.7653,0.05432,0.00278,-0.00214,-0.99844
0.0034,0.0107,0.9995,-0.6714,0.5493,-34.5459,-258,-39,-323,0.2692,0.3021,177.4731,-0.022,0.00259,-0.00238,-0.99969
0.0049,0.0029,0.9995,-0.3662,0.6714,-27.4658,-253,-68,-323,0.3296,0.2197,172.7161,-0.06348,0.00177,-0.00299,-0.99792
0.0073,0.0059,0.9985,-1.0376,1.2817,3.9673,-248,-86,-322,0.2802,0.1648,169.4037,-0.09229,0.00119,-0.00256,-0.99567
